minimum_depth	n_snps	median_MAF	mean_MAF	fraction_MAF_le_0.30	fraction_MAF_le_0.20	fraction_MAF_le_0.10
10	2495	0.357143	0.32594970781563126	0.35150300601202406	0.18276553106212426	0.09298597194388777
20	1854	0.363636	0.33652525836030206	0.32470334412081986	0.14455231930960086	0.07173678532901834
30	1477	0.369863	0.341538586323629	0.3067027758970887	0.12796208530805686	0.06973595125253892
50	1055	0.372549	0.3459918066350711	0.2881516587677725	0.11090047393364928	0.06066350710900474
